firstName,lastName,linkedinUrl,company
"Arnav","Agrawal","https://www.linkedin.com/in/arnavagrawal03?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAD4IFD0BxxGjZwH2-shtC9cIdFr1w9ICfcg",""
"Swan","Beaujard","https://www.linkedin.com/in/nullswan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADTr2N8BsKY_J7zFd5xkWEzACgnDFGzuWz8","Nomi (YC X25)"
"Eric","Mao","https://www.linkedin.com/in/eric-mao?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADsxdw8BxRn8JRxAkxakLMMf09WQR5YHiE8","clado (YC X25)"
"Mathieu","Rihet","https://www.linkedin.com/in/mathieurihet?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAEay03oBMVA6wyIRIC031jDbWpA9aCEKmjU","Novoflow (YC X25)"
"Christopher","L.","https://www.linkedin.com/in/~chris?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABnfEdwByZxUkhLLPURu6iiwCMYg2hrFFDg","BitPatrol (YC X25)"
"Viraj","Mehta","https://www.linkedin.com/in/virajmehta28?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACfJ_WABVKZ6H0J9NNmNnrlGC3Tvb69WC5E","Galen AI (YC X25)"
"Om","Agarwal","https://www.linkedin.com/in/om-agarwal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABzQRmcBed2o6H_AazCwbZgLPEJr28MNYRU","Minerva (YC X25)"
"Shourya","Lala","https://www.linkedin.com/in/shouryalala?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABzPbVAB-4HuyffNtkXz7cCwlUR8v0DSQi0","Third Chair (YC X25)"
"Sean","Dorje","https://www.linkedin.com/in/seandorje?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADl_0DsBUTWTJlr8X4VMTncPZcyFoS7TzRY","Relixir (YC X25)"
"Georges","C.","https://www.linkedin.com/in/thegeorgesc?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADaiEaoBDaoZ1JxTUNIoX8OqJyu--bJ5ew4","Novoflow (YC X25): AI employees for clinics"
"Lalit","Kundu","https://www.linkedin.com/in/lalitkundu?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAc6HCsBislAZ_YqXHLnnIM8t-syIF7jHyo","Google"
"Ananth","Kashyap","https://www.linkedin.com/in/ananth-kashyap?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADUBQmsBhtXUnyxhtvUgHUgKTS1DaoPr5nI","Sureform (YC X25)"
"Aaksha","Meghawat","https://www.linkedin.com/in/aaksham?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAZQkvIBE_e1-yJ4vomnVRh2mmxiP0J1_7k","Kashikoi (YC X25)"
"Francesco","Bonacci","https://www.linkedin.com/in/francesco-bonacci-70428a121?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAB4ed3QBhp75iHElec1JrQVKSvUW9rOyIvg","Cua AI (YC X25), Previously Gaming AI at Xbox"
"Spencer","Brown","https://www.linkedin.com/in/spencercbrown?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABDJwZsBGR_QQLbmCQVxNNcP298CYOSTScY","Chestnut"
"Rohan","Vasishth","https://www.linkedin.com/in/rohanvas?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACCjMQMBThjIcLaWMSi4jhzYVwgBAEC9exE","Bluejay (YC X25)"
"Jack","Swisher","https://www.linkedin.com/in/jack-swisher-77548a165?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACdnT8kB8rvMFmIYEiy9fyFOb4SP4T8AwfU",""
"Dylan","Nguyen","https://www.linkedin.com/in/dylan-nguyenn?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADrmULQBFQakhZ63inAB4avz0wMqgKSQdXY","Code Four (YC X25)"
"Yoav","Zimmerman","https://www.linkedin.com/in/yoav-zimmerman-05653252?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAsc3MIBLHkNLN14Twgk8JS76cRYjGomsac","Third Chair (YC X25)"
"Kevin","Treehan","https://www.linkedin.com/in/kevintreehan?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACgcdgwBNGhsDwRwktHTy8D4_LCmJ7sWVcQ","Capacitive"
"Vraj","P.","https://www.linkedin.com/in/vrajdirajlal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACfXk9ABiyDCmecqSv8MXxTICDB9WJWsyQE","Atlog (YC X25)"
"Casey","O'Grady","https://www.linkedin.com/in/casey-og?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACH4b1IB7JYb8U3y3Tztp6HHHxVa_W_KPTs","Blueshoe (YC X25)"
"Alex","Odin","https://www.linkedin.com/in/odinalex?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAA_vDv0B-CXtschUlhxXIXkGFFVP-FgeFDw","AI Strategy & Product Development for Scaling Conversational GenAI"
"Pratham","Hombal","https://www.linkedin.com/in/prathamhombal?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAEIxPLwBbnxKuHwT_NKfIxcdhlX83z4szqQ","Stratify (YC X25)"
"Akul","Gupta","https://www.linkedin.com/in/akulguptax?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC96WE4Bvufwf4N_WPE0_qtAnieL6mS4OFs","MindFort (YC X25)"
"Eshani","Mehta","https://www.linkedin.com/in/eshanimehta?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABzPuhoBcRvvl0zTXThqhzEfNxgojH9IXCg","Lumari (YC X25)"
"Daanish","Khazi","https://www.linkedin.com/in/daanishkhazi?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABHjbRoBQPMYXPwz5NXBtqsYjof0vB5zE34","TLDC (YC X25)"
"Amandeep","Singh","https://www.linkedin.com/in/amandeep-singh0?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAeXOWIBZhjGhreZoI0kEOxTvYz2ig47Eq4","ScalarField.io (YC X25)"
"Skyler","Ji","https://www.linkedin.com/in/skyler-ji?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADMiezMBN-RGOpfpkAS-OEyczNUD6qT17tU","Human Behavior (YC x25)"
"Priyanka","S.","https://www.linkedin.com/in/priyanka-shrestha-?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADI1_Y4B2Q_8sBp3_K4m8TI7jSTrLkaP8sg","Galen AI (YC X25)"
"Kevin","Z.","https://www.linkedin.com/in/kevindzhang?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABjvg_gBcLvqiOjglqbwcquNV9uE1f_leCM","Cohesive AI (YC X25)"
"Nikhil","Tiwari","https://www.linkedin.com/in/nikhiltiwari-iitb?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADLJTgcBL5fOIH-LuDErLaAWMHr5TCFHgYI","Frekil (YC X25)"
"Chloe","Samaha","https://www.linkedin.com/in/chloesamaha?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADD8ZK4B5UaEmqSDRXTD-3N5ADO1c4z31dI","BOND (YC X25)"
"Krishang","Todi","https://www.linkedin.com/in/krishang-todi-a6525b135?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACD2jS0BUDhIupOu6AlrmCWmPoXtbBY_pm8","Aegis (YC X25)"
"amogh","chaturvedi","https://www.linkedin.com/in/amoghchaturvedi1?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADvgSY0BS0vsNMPUJImqnTAnL9OPnGA_IuM","human behavior (yc x25) // prev stanford"
"Amir","Farahani","https://www.linkedin.com/in/theamirfarahani?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADaHMHMBjcGiBdeLHAMBqqatO1aJPwWBluU","Caucus (YC X25)"
"Alex","Liu","https://www.linkedin.com/in/alexyliuswe?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACPMOJwBHmhDcXJ1Nxg4F8-kV2HlIJMKKmM","Prism AI (YC X25)"
"Bryan","Guin","https://www.linkedin.com/in/bryan-guin?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACEGOjcBYunNsGuRE5PfIvgPuDvHvogl5uo","Avallon AI (YC X25)"
"Rayan","Garg","https://www.linkedin.com/in/rayan-garg?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACsX-KcB8YrAmdwi4Czmue1OEiG1W0MXqD8",""